"ölmək","die"," verb"," intermediate"
"göndərmək","send"," verb"," intermediate"
"gözləmək, ummaq","expect"," verb"," intermediate"
"ev","home"," adverb"," intermediate"
"hiss(iyyat), məna, anlama","sense"," noun"," intermediate"
"tikmək, qurmaq","build"," verb"," intermediate"
"qalmaq","stay"," verb"," intermediate"
"düşmək","fall"," verb"," intermediate"
"ah","oh"," interjection"," intermediate"
"millət","nation"," noun"," intermediate"
"plan","plan"," noun"," intermediate"
"kəsmək","cut"," verb"," intermediate"
"kollec","college"," noun"," intermediate"
"maraq","interest"," noun"," intermediate"
"ölüm","death"," noun"," intermediate"
"(of ~)əlbəttə","course"," adverb"," intermediate"
"kimsə","someone"," pronoun"," intermediate"
"təcrübə","experience"," noun"," intermediate"
"arxa, arxada","behind"," preposition"," intermediate"
"çatmaq, yetişmək, uzatmaq(əlini)","reach"," verb"," intermediate"
"yerli","local"," adjective"," intermediate"
"öldürmək, yox etmək, kəsmək(ağrı və s)","kill"," verb"," intermediate"
"altı","six"," numeral"," intermediate"
"qalmaq","remain"," verb"," intermediate"
"təsir, effekt","effect"," noun"," intermediate"
"istifadə","use"," noun"," intermediate"
"hə, bəli","yeah"," interjection"," intermediate"
"təklif/tövsiyyə etmək","suggest"," verb"," intermediate"
"sinif","class"," noun"," intermediate"
"nəzarət, idarə","control"," noun"," intermediate"
"qaldırmaq, artırmaq, yüksəltmək","raise"," verb"," intermediate"
"qayğı, diqqət","care"," noun"," intermediate"
"bəlkə, ola bilsin","perhaps"," adverb"," intermediate"
"az","little"," adverb"," intermediate"
"gec","late"," adjective"," intermediate"
"ağır","hard"," adjective"," intermediate"
"sahə","field"," noun"," intermediate"
"başqa","else"," adverb"," intermediate"
"keç(ir)mək, öt(ür)mək","pass"," verb"," intermediate"
"sabiq, keçmiş, əvvəlki, köhnə","former"," determiner"," intermediate"
"satmaq","sell"," verb"," intermediate"
"əsas, mayor","major"," adjective"," intermediate"
"bəzən","sometimes"," adverb"," intermediate"
"gərəkdirmək, tələb etmək","require"," verb"," intermediate"
"yanaşı, boyunca","along"," preposition"," intermediate"
"inkişaf","development"," noun"," intermediate"
"özləri","themselves"," pronoun"," intermediate"
"xəbər/raport vermək, bildirmək","report"," verb"," intermediate"
"rol","role"," noun"," intermediate"
"daha yaxşı","better"," adjective"," intermediate"
"iqtisadi","economic"," adjective"," intermediate"
"səy","effort"," noun"," intermediate"
"yuxarı","up"," preposition"," intermediate"
"qərar vermək, qərarlaşdırmaq","decide"," verb"," intermediate"
"dərəcə, miqdar, faiz","rate"," noun"," intermediate"
"güclü","strong"," adjective"," intermediate"
"mümkün","possible"," adjective"," intermediate"
"ürək","heart"," noun"," intermediate"
"dərman, narkotik","drug"," noun"," intermediate"
"şou","show"," noun"," intermediate"
"öndər, lider","leader"," noun"," intermediate"
"işıq","light"," noun"," intermediate"
"səs","voice"," noun"," intermediate"
"həyat yoldaşı(qadın)","wife"," noun"," intermediate"
"bütün, tam","whole"," adjective"," intermediate"
"polis","police"," noun"," intermediate"
"ağıl","mind"," noun"," intermediate"
"nəhayət","finally"," adverb"," intermediate"
"çəkmək, dartmaq","pull"," verb"," intermediate"
"qayıtmaq, geri dönmək","return"," verb"," intermediate"
"azad, havayı","free"," adjective"," intermediate"
"hərbi","military"," adjective"," intermediate"
"qiymət","price"," noun"," intermediate"
"hesabat","report"," noun"," intermediate"
"daha az","less"," adverb, determiner, pronoun, preposition"," intermediate"
"-a görə(according to)","according"," preposition"," intermediate"
"qərar","decision"," noun"," intermediate"
"izah etmək","explain"," verb"," intermediate"
"oğul","son"," noun"," intermediate"
"ümid etmək","hope"," verb"," intermediate"
"hətta","even"," conjunction"," intermediate"
"inkişaf et(dir)mək","develop"," verb"," intermediate"
"görünüş, mənzərə, baxış, fikir","view"," noun"," intermediate"
"münasibət, əlaqə","relationship"," noun"," intermediate"
"daşımaq, aparmaq","carry"," verb"," intermediate"
"şəhər","town"," noun"," intermediate"
"yol","road"," noun"," intermediate"
"sürmək","drive"," verb"," intermediate"
"qol, silah","arm"," noun"," intermediate"
"doğru","true"," adjective"," intermediate"
"federal","federal"," adjective"," intermediate"
"qırmaq, xarab etmək","break"," verb"," intermediate"
"daha yaxşı","better"," adverb"," intermediate"
"fərq","difference"," noun"," intermediate"
"təşəkkür etmək","thank"," verb"," intermediate"
"qəbul etmək, almaq","receive"," verb"," intermediate"
"dəyər, qiymət","value"," noun"," intermediate"
"beynəlxalq","international"," adjective"," intermediate"
"tikinti, bina","building"," noun"," intermediate"
"fəaliyyət, əməl, hərəkət","action"," noun"," intermediate"
"dolu, tam, tox","full"," adjective"," intermediate"
"model","model"," noun"," intermediate"
"qoş(ul)maq, üzv olmaq, qat(ıl)maq","join"," verb"," intermediate"
"mövsüm, sezon","season"," noun"," intermediate"
"cəmiyyət","society"," noun"," intermediate"
"çünki","because"," preposition"," intermediate"
"vergi","tax"," noun"," intermediate"
"direktor","director"," noun"," intermediate"
"erkən","early"," adverb"," intermediate"
"mövqe","position"," noun"," intermediate"
"oyunçu","player"," noun"," intermediate"
"razılaşmaq","agree"," verb"," intermediate"
"xüsusilə, xüsusən","especially"," adverb"," intermediate"
"qeyd(iyyat), yazı(səs,video), rekord","record"," noun"," intermediate"
"seçmək, yığ(ışdır)maq, dərmək, götürmək/qaldırmaq(~ up)","pick"," verb"," intermediate"
"geyinmək, taxmaq(geyim əşyası)","wear"," verb"," intermediate"
"kağız","paper"," noun"," intermediate"
"xüsusi","special"," adjective"," intermediate"
"fəza, boşluq, boş yer","space"," noun"," intermediate"
"zəmin, yer, səbəb","ground"," noun"," intermediate"
"forma","form"," noun"," intermediate"
"dəstək","support"," verb"," intermediate"
"hadisə, tədbir, müsabiqə","event"," noun"," intermediate"
"rəsmi","official"," noun"," intermediate"
"kimin","whose"," determiner"," intermediate"
"maddə, məsələ, önəm","matter"," noun"," intermediate"
"hər kəs","everyone"," pronoun"," intermediate"
"mərkəz","center"," noun"," intermediate"
"cütlük, iki, bir-iki","couple"," noun"," intermediate"
"yer, yaşayış yeri, sayt","site"," noun"," intermediate"
"sonlan(dır)maq, nəticələnmək","end"," verb"," intermediate"
"layihə","project"," noun"," intermediate"
"vur(ul)maq","hit"," verb"," intermediate"
"-a əsaslandırmaq(~ on), qurmaq","base"," verb"," intermediate"
"fəaliyyət, fəallıq, aktivlik","activity"," noun"," intermediate"
"ulduz","star"," noun"," intermediate"
"stol, masa","table"," noun"," intermediate"
"ehtiyac","need"," noun"," intermediate"
"məhkəmə","court"," noun"," intermediate"
"istehsal etmək","produce"," verb"," intermediate"
"yemək","eat"," verb"," intermediate"
"Amerikan","American"," noun"," intermediate"
"öyrətmək","teach"," verb"," intermediate"
"yağı, neft","oil"," noun"," intermediate"
"yarısı, yarı","half"," determiner"," intermediate"
"vəziyyət","situation"," noun"," intermediate"
"asan","easy"," adjective"," intermediate"
"qiymət, maliyyət, məbləğ","cost"," noun"," intermediate"
"sənaye","industry"," noun"," intermediate"
"rəqəm, fiqur, qamət","figure"," noun"," intermediate"
"üzləşmək, qarşılaşmaq","face"," verb"," intermediate"
"küçə","street"," noun"," intermediate"
"təsvir, şəkil, görüntü, imic","image"," noun"," intermediate"
"özü (əşya/hadisə/heyvan)","itself"," pronoun"," intermediate"
"telefon","phone"," noun"," intermediate"
"həmçinin, ya..ya da..(either..or..)","either"," adverb, conjunction"," intermediate"
"data, məlumat","data"," noun"," intermediate"
"örtmək, ehtiva/əhatə etmək","cover"," verb"," intermediate"
"olduqca, tamam","quite"," adverb"," intermediate"
"şəkil","picture"," noun"," intermediate"
"aydın, təmiz","clear"," adjective"," intermediate"
"təcrübə","practice"," noun"," intermediate"
"parça, hissə, dənə, əsər","piece"," noun"," intermediate"
"torpaq, ərazi","land"," noun"," intermediate"
"son, təzə, yaxın zamanlarda olan","recent"," adjective"," intermediate"
"təsvir etmək","describe"," verb"," intermediate"
"məhsul","product"," noun"," intermediate"
"həkim","doctor"," noun"," intermediate"
"divar","wall"," noun"," intermediate"
"xəstə, pasiyent","patient"," noun"," intermediate"
"işçi","worker"," noun"," intermediate"
"xəbərlər","news"," noun"," intermediate"
"test","test"," noun"," intermediate"
"film","movie"," noun"," intermediate"
"müəyyən","certain"," adjective"," intermediate"
"şimal","north"," noun"," intermediate"
"sevgi","love"," noun"," intermediate"
"şəxsi","personal"," adjective"," intermediate"
"açıq","open"," adjective"," intermediate"
"dəstək","support"," noun"," intermediate"
"sadəcə","simply"," adverb"," intermediate"
"üçüncü","third"," numeral"," intermediate"
"texnologiya","technology"," noun"," intermediate"
"tutmaq","catch"," verb"," intermediate"
"addım","step"," noun"," intermediate"
"körpə","baby"," noun"," intermediate"
"kompüter","computer"," noun"," intermediate"
"növ, tip","type"," noun"," intermediate"
"diqqət","attention"," noun"," intermediate"
"çəkmək","draw"," verb"," intermediate"
"film","film"," noun"," intermediate"
"Respublikaçı","Republican"," noun"," intermediate"
"ağac","tree"," noun"," intermediate"
"mənbə","source"," noun"," intermediate"
"qırmızı","red"," adjective"," intermediate"
"təxminən, az qala","nearly"," adverb"," intermediate"
"təşkilat, təşkil etmə","organization"," noun"," intermediate"
"seçmək","choose"," verb"," intermediate"
"səbəb olmaq","cause"," verb"," intermediate"
"saç","hair"," noun"," intermediate"
"göstərmək, tuşlamaq","look"," noun"," intermediate"
"nöqtə","point"," verb"," intermediate"
"əsr","century"," noun"," intermediate"
"sübut, dəlil","evidence"," noun"," intermediate"
"pəncərə","window"," noun"," intermediate"
"çətin","difficult"," adjective"," intermediate"
"qulaq asmaq","listen"," verb"," intermediate"
"tezliklə","soon"," adverb"," intermediate"
"mədəniyyət","culture"," noun"," intermediate"
"milyard","billion"," numeral"," intermediate"
"şans, ehtimal, fürsət","chance"," noun"," intermediate"
"qardaş","brother"," noun"," intermediate"
"enerji","energy"," noun"," intermediate"
"dövr","period"," noun"," intermediate"
"kurs","course"," noun"," intermediate"
"yay","summer"," noun"," intermediate"
"daha az, -sız","less"," determiner"," intermediate"
"fərqinə varmaq, anlamaq, gerçəkləşdirmək","realize"," verb"," intermediate"
"yüz","hundred"," numeral"," intermediate"
"mövcud, müsaid, uyğun","available"," adjective"," intermediate"
"bitki","plant"," noun"," intermediate"
"olabiləcək, mümkün, ağlabatan","likely"," adjective"," intermediate"
"fürsət, imkan","opportunity"," noun"," intermediate"
"müddət","term"," noun"," intermediate"
"qısa","short"," adjective"," intermediate"
"məktub","letter"," noun"," intermediate"
"şərt, şərait","condition"," noun"," intermediate"
"seçim","choice"," noun"," intermediate"
"yer","place"," verb"," intermediate"
"tək","single"," adjective"," intermediate"
"qayda","rule"," noun"," intermediate"
"qız övlad","daughter"," noun"," intermediate"
"administrasiya, idarəetmə","administration"," noun"," intermediate"
"cənub","south"," noun"," intermediate"
"ər","husband"," noun"," intermediate"
"konqress","Congress"," noun"," intermediate"
"mərtəbə","floor"," noun"," intermediate"
"kampaniya (siyasi/sosial)","campaign"," noun"," intermediate"
"material, maddə","material"," noun"," intermediate"
"əhali, populyasiya","population"," noun"," intermediate"
"yaxşı","well"," preposition"," intermediate"
"zəng","call"," noun"," intermediate"
"iqtisadiyyat","economy"," noun"," intermediate"
"tibb","medical"," adjective"," intermediate"
"xəstəxana","hospital"," noun"," intermediate"
"kilsə","church"," noun"," intermediate"
"bağlamaq","close"," verb"," intermediate"
"min","thousand"," numeral"," intermediate"
"risk","risk"," noun"," intermediate"
"cari, hazırki","current"," adjective"," intermediate"
"atəş, yanğın","fire"," noun"," intermediate"
"gələcək","future"," noun"," intermediate"
"yanlış","wrong"," adjective"," intermediate"
"əhatə etmək, cəlb/daxil etmək","involve"," verb"," intermediate"
"müdafiə","defense"," noun"," intermediate"
"hər kəs","anyone"," pronoun"," intermediate"
"artmaq","increase"," verb"," intermediate"
"təhlükəsizlik","security"," noun"," intermediate"
"bank","bank"," noun"," intermediate"
"özüm","myself"," pronoun"," intermediate"
"əlbəttə","certainly"," adverb"," intermediate"
"qərb","west"," noun"," intermediate"
"idman","sport"," noun"," intermediate"
"lövhə","board"," noun"," intermediate"
"axtarmaq, istəmək","seek"," verb"," intermediate"
"hər, (saat/adam vs) başına","per"," preposition"," intermediate"
"mövzu, subyekt","subject"," noun"," intermediate"
"zabit, məmur","officer"," noun"," intermediate"
"xüsusi, özəl","private"," adjective"," intermediate"
"qalanı, istirahət","rest"," noun"," intermediate"
"davranış, rəftar","behavior"," noun"," intermediate"
"məşğul olmaq, uğraşmaq, paylamaq(kart)","deal"," verb"," intermediate"
"performans, çıxış(səhnədə)","performance"," noun"," intermediate"
"döyüşmək, mübarizə/mücadilə etmək","fight"," verb"," intermediate"
"tullamaq, atmaq","throw"," verb"," intermediate"
"üst, yuxarı","top"," noun"," intermediate"
"cəld, tez","quickly"," adverb"," intermediate"
"keçmiş","past"," adjective"," intermediate"
"məqsəd, qol(futbolda)","goal"," noun"," intermediate"
"ikinci","second"," noun"," intermediate"
"yataq, çarpayı","bed"," noun"," intermediate"
"sifariş, əmr, səliqə, qayda, nizam","order"," noun"," intermediate"
"müəllif","author"," noun"," intermediate"
"doldurmaq","fill"," verb"," intermediate"
"təmsil etmək","represent"," verb"," intermediate"
"diqqətini vermək, fokuslanmaq","focus"," verb"," intermediate"
"xarici","foreign"," adjective"," intermediate"
"düş(ürt)mək, salmaq, damcıla(t)maq","drop"," verb"," intermediate"
"plan","plan"," verb"," intermediate"
"qan","blood"," noun"," intermediate"
"üstündə, üzərində","upon"," preposition"," intermediate"
"agentlik","agency"," noun"," intermediate"
"itələmək, basmaq","push"," verb"," intermediate"
"təbiət","nature"," noun"," intermediate"
"rəng","color"," noun"," intermediate"
"yox, xeyr, heç, heç bir","no"," adverb"," intermediate"
"təzəlikcə","recently"," adverb"," intermediate"
"mağaza","store"," noun"," intermediate"
"azaltmaq, əskiltmək","reduce"," verb"," intermediate"
"səs","sound"," noun"," intermediate"
"qeyd","note"," verb"," intermediate"
"əla, gözəl","fine"," adjective"," intermediate"
"əvvəl","before"," adverb"," intermediate"
"yaxın","near"," preposition"," intermediate"
"hərəkət, hərəkat","movement"," noun"," intermediate"
"səhifə","page"," noun"," intermediate"
"daxil etmək/olmaq","enter"," verb"," intermediate"
"paylaşmaq, bölüşmək","share"," verb"," intermediate"
"-dan, daha","than"," preposition"," intermediate"
"ümumi, geniş yayılmış","common"," adjective"," intermediate"
"yoxsul, kasad, yazıq","poor"," adjective"," intermediate"
"digər, başqa","other"," pronoun"," intermediate"
"təbii","natural"," adjective"," intermediate"
"irq","race"," noun"," intermediate"
"narahatlıq","concern"," noun"," intermediate"
"seriya, sıra","series"," noun"," intermediate"
"əhəmiyyətli, önəmli","significant"," adjective"," intermediate"
"bənzər","similar"," adjective"," intermediate"
"isti","hot"," adjective"," intermediate"
"dil","language"," noun"," intermediate"
"hər","each"," pronoun"," intermediate"
"adətən","usually"," adverb"," intermediate"
"cavab","response"," noun"," intermediate"
"ölü","dead"," adjective"," intermediate"
"qalxmaq, yüksəlmək artmaq","rise"," verb"," intermediate"
"heyvan","animal"," noun"," intermediate"
"amil","factor"," noun"," intermediate"
"on il, onluq, dekada","decade"," noun"," intermediate"
"məqalə, maddə","article"," noun"," intermediate"
"atmaq, vurmaq (silahla), çəkmək (kamerayla)","shoot"," verb"," intermediate"
"şərq","east"," noun"," intermediate"
"saxlamaq, xilas etmək","save"," verb"," intermediate"
"yeddi","seven"," m"," intermediate"
"rəssam","artist"," noun"," intermediate"
"uzaq, kənar","away"," preposition"," intermediate"
"səhnə","scene"," noun"," intermediate"
"fond, ehtiyat","stock"," noun"," intermediate"
"karyera","career"," noun"," intermediate"
"baxmayaraq ki","despite"," preposition"," intermediate"
"  mərkəzi","central"," adjective"," intermediate"
"səkkiz","eight"," m"," intermediate"
"beləliklə","thus"," adverb"," intermediate"
"müalicə, rəftar, yanaşma","treatment"," noun"," intermediate"
"kənar, o yana, savayı","beyond"," preposition"," intermediate"
"xoşbəxt","happy"," adjective"," intermediate"
"dəqiq, eynilə","exactly"," adverb"," intermediate"
"qorumaq","protect"," verb"," intermediate"
"yanaşma, yaxınlaşma","approach"," noun"," intermediate"
"yalan","lie"," verb"," intermediate"
"ölçü, razmer","size"," noun"," intermediate"
"it","dog"," noun"," intermediate"
"fond, sərmayə","fund"," noun"," intermediate"
"ciddi","serious"," adjective"," intermediate"
"baş vermək","occur"," verb"," intermediate"
"media","media"," noun"," intermediate"
"hazır","ready"," adjective"," intermediate"
"işarə, imza, bürc, əlamət","sign"," noun"," intermediate"
"fikir, düşüncə","thought"," noun"," intermediate"
"siyahı","list"," noun"," intermediate"
"fərd","individual"," noun"," intermediate"
"sadə","simple"," adjective"," intermediate"
"keyfiyyət","quality"," noun"," intermediate"
"təzyiq","pressure"," noun"," intermediate"
"qəbul etmək","accept"," verb"," intermediate"
"cavab","answer"," noun"," intermediate"
"çətin, ağır, bərk","hard"," adverb"," intermediate"
"vəsait, resurs, imkan","resource"," noun"," intermediate"
"müəyyən etmək","identify"," verb"," intermediate"
"sol, buraxılmış","left"," adjective"," intermediate"
"görüş, yığıncaq","meeting"," noun"," intermediate"
"müəyyən/təyin etmək","determine"," verb"," intermediate"
"hazırlamaq","prepare"," verb"," intermediate"
"xəstəlik","disease"," noun"," intermediate"
"hər nə, nəysə","whatever"," determiner"," intermediate"
"uğur","success"," noun"," intermediate"
"mübahisə etmək","argue"," verb"," intermediate"
"fincan, kubok","cup"," noun"," intermediate"
"xüsusilə","particularly"," adverb"," intermediate"
"məbləğ, miqdar","amount"," noun"," intermediate"
"qabiliyyət","ability"," noun"," intermediate"
"əməkdaş, işçi","staff"," noun"," intermediate"
"tanımaq","recognize"," verb"," intermediate"
"göstərmək, bildirmək (əlamət)","indicate"," verb"," intermediate"
"xarakter, obraz","character"," noun"," intermediate"
"artım","growth"," noun"," intermediate"
"zərər, itki","loss"," noun"," intermediate"
"dərəcə","degree"," noun"," intermediate"
"-a maraqlı gəlmək, bilmək istəmək","wonder"," verb"," intermediate"
"hücum","attack"," noun"," intermediate"
"özü (qadın)","herself"," pronoun"," intermediate"
"rayon","region"," noun"," intermediate"
"televiziya","television"," noun"," intermediate"
"qutu, boks","box"," noun"," intermediate"
"TV","TV"," noun"," intermediate"
"məşq, təlim","training"," noun"," intermediate"
"olduqca","pretty"," adverb"," intermediate"
"ticarət","trade"," noun"," intermediate"
"razılaşma, məsələ","deal"," noun"," intermediate"
"seçki","election"," noun"," intermediate"
"hamı, hərkəs","everybody"," pronoun"," intermediate"
"fiziki","physical"," adjective"," intermediate"
"sərmək, qoymaq, yatırtmaq","lay"," verb"," intermediate"
"ümumi","general"," adjective"," intermediate"
"hiss","feeling"," noun"," intermediate"
"standart","standard"," noun"," intermediate"
""
